"","x"
"1","Y1"
"2","WT1B1"
"3","WT1B2"
"4","WT1B3"
"5","WT1B4"
"6","WT1B5"
"7","WT1B6"
"8","WT1B7"
"9","WT1B8"
"10","WT1B9"
"11","WT1B10"
"12","WT1B11"
"13","WT1B12"
"14","WT1B13"
"15","WT1B14"
"16","WT1B15"
"17","WT1B16"
"18","WT1B17"
"19","WT1B18"
"20","WT1B19"
"21","WT1B20"
"22","WT1B21"
"23","WT1B22"
"24","WT1B23"
"25","WT1B24"
"26","WT1B25"
"27","WT1B26"
"28","WT1B27"
"29","WT1B28"
"30","WT1B29"
"31","WT1B30"
"32","WT1B31"
"33","WT1B32"
"34","WT1B33"
"35","WT1B34"
"36","WT1B35"
"37","WT1B36"
"38","WT1B37"
"39","WT1B38"
"40","WT1B39"
"41","WT1B40"
"42","WT1B41"
"43","WT1B42"
"44","WT1B43"
"45","WT1B44"
"46","WT1B45"
"47","WT1B46"
"48","WT1B47"
"49","WT1B48"
"50","WT1B49"
"51","WT1B50"
"52","WT1B51"
"53","WT1B52"
"54","WT1B53"
"55","WT1B54"
"56","WT1B55"
"57","WT1B56"
"58","WT1B57"
"59","WT1B58"
"60","WT1B59"
"61","WT1B60"
"62","WT1B61"
"63","WT1B62"
"64","WT1B63"
"65","WT1B64"
"66","WT1B65"
"67","WT1B66"
"68","WT1B67"
"69","WT1B68"
"70","WT1B69"
"71","WT1B70"
"72","WT1B71"
"73","WT1B72"
"74","WT1B73"
"75","WT1B74"
"76","WT1B75"
"77","WT1B76"
"78","WT1B77"
"79","WT1B78"
"80","WT1B79"
"81","WT1B80"
"82","WT1B81"
"83","WT1B82"
"84","WT1B83"
"85","WT1B84"
"86","WT1B85"
"87","WT1B86"
"88","WT1B87"
"89","WT1B88"
"90","WT1B89"
"91","WT1B90"
"92","WT1B91"
"93","WT1B92"
"94","WT1B93"
"95","WT1B94"
"96","WT1B95"
"97","WT1B96"
"98","WT1B97"
"99","WT1B98"
"100","WT1B99"
"101","WT1B100"
"102","WT1B101"
"103","WT1B102"
"104","WT1B103"
"105","WT1B104"
"106","WT1B105"
"107","WT1B106"
"108","WT1B107"
"109","WT1B108"
"110","WT1B109"
"111","WT1B110"
"112","WT1B111"
"113","WT1B112"
"114","WT1B113"
"115","WT1B114"
"116","WT1B115"
"117","WT1B116"
"118","WT1B117"
"119","WT1B118"
"120","WT1B119"
"121","WT1B120"
"122","WT1B121"
"123","WT1B122"
"124","WT1B123"
"125","WT1B124"
"126","WT1B125"
"127","WT1B126"
"128","WT1B127"
"129","WT1B128"
"130","WT1B129"
"131","WT1B130"
"132","WT1B131"
"133","WT1B132"
"134","WT1B133"
"135","WT1B134"
"136","WT1B135"
"137","WT1B136"
"138","WT1B137"
"139","WT1B138"
"140","WT1B139"
"141","WT1B140"
"142","WT1B141"
"143","WT1B142"
"144","WT1B143"
"145","WT1B144"
"146","WT1B145"
"147","WT1B146"
"148","WT1B147"
"149","WT1B148"
"150","WT1B149"
"151","WT1B150"
"152","WT1B151"
"153","WT1B152"
"154","WT1B153"
"155","WT1B154"
"156","WT1B155"
"157","WT1B156"
"158","WT1B157"
"159","WT1B158"
